,Student ID,First Faculty ID,Second Faculty ID,Third Faculty ID,Fourth Faculty ID
436,-----,-----,-----,-----,-----
437,300,10,9,2,17
438,301,23,5,0,11
439,-----,-----,-----,-----,-----
440,304,2,20,6,12
441,305,8,15,16,14
442,-----,-----,-----,-----,-----
443,308,21,4,9,12
444,164,15,8,14,6
445,-----,-----,-----,-----,-----
446,310,12,13,15,2
447,311,23,9,20,17
448,-----,-----,-----,-----,-----
449,312,0,4,18,20
450,319,7,6,2,16
451,-----,-----,-----,-----,-----
452,316,16,14,11,8
453,317,2,15,7,17
454,-----,-----,-----,-----,-----
455,318,13,16,22,20
456,100,18,10,11,21
457,101,2,15,23,9
458,-----,-----,-----,-----,-----
459,320,15,3,14,8
460,178,12,11,10,0
461,-----,-----,-----,-----,-----
462,321,3,14,23,8
463,-----,-----,-----,-----,-----
464,322,11,12,15,21
465,323,1,6,20,2
466,136,4,22,18,0
467,137,13,10,3,5
468,-----,-----,-----,-----,-----
469,325,18,14,2,15
470,339,9,1,3,5
471,-----,-----,-----,-----,-----
472,326,15,20,12,7
473,327,4,3,1,0
474,-----,-----,-----,-----,-----
475,328,11,16,23,7
476,329,21,22,4,3
477,196,15,8,20,10
478,-----,-----,-----,-----,-----
479,330,0,7,22,17
480,-----,-----,-----,-----,-----
481,331,12,1,21,0
482,84,22,5,9,11
483,85,10,16,18,13
484,-----,-----,-----,-----,-----
485,334,4,0,16,9
486,335,7,1,13,21
487,283,23,19,5,11
488,-----,-----,-----,-----,-----
489,340,1,6,9,0
490,244,7,17,4,2
491,-----,-----,-----,-----,-----
492,343,12,5,0,21
493,87,3,16,11,7
494,-----,-----,-----,-----,-----
495,344,11,13,21,3
496,332,20,19,22,10
497,333,16,9,14,23
498,-----,-----,-----,-----,-----
499,345,0,11,15,19
500,309,7,12,1,5
501,-----,-----,-----,-----,-----
502,346,7,8,9,21
503,347,4,20,1,12
504,-----,-----,-----,-----,-----
505,348,12,14,6,11
506,349,9,3,8,23
507,-----,-----,-----,-----,-----
508,353,10,9,19,16
509,102,2,21,4,1
510,223,11,3,0,13
511,-----,-----,-----,-----,-----
512,354,10,7,9,15
513,355,5,13,8,20
514,-----,-----,-----,-----,-----
515,358,8,18,23,6
516,359,21,10,17,1
517,156,4,5,11,7
518,-----,-----,-----,-----,-----
519,360,6,15,20,10
520,361,18,3,7,19
521,-----,-----,-----,-----,-----
522,362,20,13,7,23
523,-----,-----,-----,-----,-----
524,363,2,8,17,13
525,12,21,3,11,7
526,-----,-----,-----,-----,-----
527,364,1,5,7,14
528,365,11,10,18,23
529,324,22,8,2,12
530,-----,-----,-----,-----,-----
531,369,8,0,1,18
532,247,12,20,4,2
533,276,13,5,7,10
534,-----,-----,-----,-----,-----
535,370,18,20,2,22
536,371,19,17,21,1
537,-----,-----,-----,-----,-----
538,372,11,20,16,0
539,373,10,21,7,13
540,2,17,4,19,22
541,-----,-----,-----,-----,-----
542,374,21,3,1,12
543,375,9,7,13,19
544,-----,-----,-----,-----,-----
545,376,10,16,15,12
546,217,4,7,11,14
547,67,22,5,6,2
548,-----,-----,-----,-----,-----
549,378,3,22,21,13
550,-----,-----,-----,-----,-----
